1;1577838600;1.7
2;1577849400;1.8
3;1577860200;2
4;1577871000;3.2
5;1577881800;5.4
6;1577892600;6.6
7;1577903400;6.7
8;1577914200;7
9;1577925000;7.2
1;1577935800;7.4
2;1577946600;7.5
3;1577957400;7.8
4;1577968200;8.6
5;1577979000;8.4
6;1577989800;8.3
7;1578000600;8.2
8;1578011400;7.3
9;1578022200;7.3
1;1578033000;7.6
2;1578043800;8.7
3;1578054600;10.5
4;1578065400;10
5;1578076200;9.8
6;1578087000;8.5
7;1578097800;6.9
8;1578108600;5.6
9;1578119400;4
1;1578130200;4.5
2;1578141000;7.1
3;1578151800;7.5
4;1578162600;6.9
5;1578173400;6.6
6;1578184200;6.3
7;1578195000;6.2
8;1578205800;6.1
9;1578216600;6.5
1;1578227400;8
2;1578238200;7.4
3;1578249000;5.5
4;1578259800;3
5;1578270600;2.1
6;1578281400;1.3
7;1578292200;0.7
8;1578303000;2.8
9;1578313800;7
1;1578324600;7.7
2;1578335400;6.1
3;1578346200;6.5
4;1578357000;6.5
5;1578367800;6.6
6;1578378600;6.4
7;1578389400;6.7
8;1578400200;7.8
9;1578411000;8.6
1;1578421800;8.7
2;1578432600;9.1
3;1578443400;9.8
4;1578454200;10.4
5;1578465000;10.6
6;1578475800;10.8
7;1578486600;11.2
8;1578497400;11.1
9;1578508200;10.6
1;1578519000;10.7
2;1578529800;10.7
3;1578540600;10.8
4;1578551400;10.7
5;1578562200;10.9
6;1578573000;11.6
7;1578583800;11.5
8;1578594600;9.8
9;1578605400;9.3
1;1578616200;9.3
2;1578627000;8.9
3;1578637800;8.4
4;1578648600;7.6
5;1578659400;7.9
6;1578670200;7.9
7;1578681000;7.4
8;1578691800;5.9
9;1578702600;5.9
1;1578713400;4.7
2;1578724200;3.1
3;1578735000;4.7
4;1578745800;8.2
5;1578756600;7.2
6;1578767400;4
7;1578778200;2.6
8;1578789000;2
9;1578799800;2.2
1;1578810600;3.8
2;1578821400;5.6
3;1578832200;7.6
4;1578843000;7.2
5;1578853800;7.2
6;1578864600;7.5
7;1578875400;7.5
8;1578886200;7.2
9;1578897000;6.9
1;1578907800;7.3
2;1578918600;8.7
3;1578929400;9.4
4;1578940200;9.2
5;1578951000;9
6;1578961800;8.5
7;1578972600;8.7
8;1579005000;10.8
9;1579015800;11.7
1;1579026600;10.1
2;1579037400;9.9
3;1579048200;9.5
4;1579059000;8.2
5;1579069800;8.3
6;1579080600;10.3
7;1579091400;13.3
8;1579102200;13
9;1579113000;11.6
1;1579123800;9.3
2;1579134600;5.8
3;1579145400;4.8
4;1579156200;5.2
5;1579167000;8.8
6;1579177800;14
7;1579188600;14.1
8;1579199400;10.3
9;1579210200;9
1;1579221000;10.7
2;1579231800;9.8
3;1579242600;8.2
4;1579253400;9.1
5;1579264200;10.5
6;1579275000;9.8
7;1579285800;7.7
8;1579296600;6
9;1579307400;4.4
1;1579318200;3.7
2;1579329000;2.9
3;1579339800;4.7
4;1579350600;7.4
5;1579361400;7.7
6;1579372200;5.5
7;1579383000;4.1
8;1579393800;3.2
9;1579404600;1.9
1;1579415400;1.4
2;1579426200;3
3;1579437000;5.9
4;1579447800;5.8
5;1579458600;4.9
6;1579469400;4.7
7;1579480200;3.7
8;1579491000;2.6
9;1579501800;1.7
1;1579512600;3.4
2;1579523400;6
3;1579534200;5.7
4;1579545000;3.6
5;1579555800;2.3
6;1579566600;1.2
7;1579577400;0.3
8;1579588200;-0.5
9;1579599000;1.5
1;1579609800;4.4
2;1579620600;4.6
3;1579631400;2.6
4;1579642200;0.9
5;1579653000;-0.2
6;1579663800;-0.8
7;1579674600;-1.2
8;1579685400;0.4
9;1579696200;4.2
1;1579707000;4
2;1579717800;1.9
3;1579728600;0.8
4;1579739400;0.1
5;1579750200;-0.3
6;1579761000;-0.7
7;1579771800;0.4
8;1579782600;3.6
9;1579793400;3.3
1;1579804200;1.6
2;1579815000;0.8
3;1579825800;0.2
4;1579836600;-0.4
5;1579847400;-1
6;1579858200;0.7
7;1579869000;5.8
8;1579879800;6.4
9;1579890600;3.9
1;1579901400;1.9
2;1579912200;0.7
3;1579923000;-0.1
4;1579933800;-0.1
5;1579944600;1.2
6;1579955400;4.1
7;1579966200;6.2
8;1579977000;4.7
9;1579987800;3
1;1579998600;1.8
2;1580009400;2
3;1580020200;1.8
4;1580031000;4.1
5;1580041800;8.1
6;1580052600;9.3
7;1580063400;7.4
8;1580074200;7.9
9;1580085000;8.4
